model,acc_mean,acc_std,f1_mean,f1_std,n_runs,category
0_random,0.2467,0.0279,0.2441,0.0263,18,floor
1_majority,0.279,0.0499,0.1085,0.0146,18,floor
13_tbc_V0,0.4818,0.1025,0.45,0.102,18,Thai-Beat-Counter (neural)
3_rf_handcrafted,0.5478,0.0747,0.5271,0.0669,18,hand-crafted
4_nb_unigram,0.6043,0.1281,0.5812,0.1386,18,n-gram (shallow)
2_lr_handcrafted,0.6106,0.0647,0.5798,0.0645,18,hand-crafted
5_svm_unigram,0.62,0.1217,0.6013,0.1197,18,n-gram (shallow)
13_tbc_V1,0.6337,0.0901,0.6167,0.0872,18,Thai-Beat-Counter (neural)
8_xgb_combined,0.648,0.1023,0.6296,0.087,18,combined (shallow)
11_transformer_flat,0.6499,0.0953,0.6353,0.0886,18,Transformer flat (neural)
13_tbc_V2,0.6516,0.0803,0.6329,0.0679,18,Thai-Beat-Counter (neural)
12_tbc_full,0.6621,0.0967,0.6384,0.0988,18,Thai-Beat-Counter (neural)
7_svm_trigram,0.6824,0.0871,0.6703,0.0835,18,n-gram (shallow)
6_svm_bigram,0.6848,0.0848,0.6734,0.0824,18,n-gram (shallow)
10_bilstm,0.6977,0.0788,0.6896,0.0695,18,CNN/RNN (neural)
9_cnn,0.698,0.0856,0.6845,0.0809,18,CNN/RNN (neural)
