model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test,epochs_used
9_cnn,42,กล่อมนารี,0.6642857142857143,0.6679122720597375,0.6461538461538462,0.6451612903225806,0.7272727272727273,0.6530612244897959,679,140,13
9_cnn,42,จีนขิมเล็ก,0.7281553398058253,0.676208548664944,0.37037037037037035,0.7441860465116279,0.7777777777777778,0.8125,716,103,29
9_cnn,42,ตับต้นเพลงฉิ่ง,0.7215909090909091,0.7114084410908835,0.5352112676056338,0.967032967032967,0.7346938775510204,0.6086956521739131,643,176,22
9_cnn,42,สาธุการ,0.8009259259259259,0.780608860113246,0.5432098765432098,0.864,0.9473684210526315,0.7678571428571429,603,216,20
9_cnn,42,แขกมอญบางช้าง,0.7413793103448276,0.7383568583043971,0.5882352941176471,0.8813559322033898,0.8275862068965517,0.65625,703,116,16
9_cnn,42,โหมโรงมหาฤกษ์,0.5147058823529411,0.5073563218390804,0.48,0.4827586206896552,0.6666666666666666,0.4,751,68,13
9_cnn,123,กล่อมนารี,0.6785714285714286,0.6743113794100637,0.6153846153846154,0.6785714285714286,0.6875,0.7157894736842105,679,140,16
9_cnn,123,จีนขิมเล็ก,0.6699029126213593,0.6390064110118556,0.42857142857142855,0.6896551724137931,0.7272727272727273,0.7105263157894737,716,103,20
9_cnn,123,ตับต้นเพลงฉิ่ง,0.6590909090909091,0.6524619240408714,0.4835164835164835,0.967032967032967,0.6526315789473685,0.5066666666666667,643,176,20
9_cnn,123,สาธุการ,0.7546296296296297,0.7025389618265061,0.3076923076923077,0.8372093023255814,0.9152542372881356,0.75,603,216,11
9_cnn,123,แขกมอญบางช้าง,0.7413793103448276,0.7434922988221728,0.647887323943662,0.8888888888888888,0.8771929824561403,0.56,703,116,21
9_cnn,123,โหมโรงมหาฤกษ์,0.5441176470588235,0.5482820633068877,0.6896551724137931,0.3870967741935484,0.6285714285714286,0.4878048780487805,751,68,11
9_cnn,2024,กล่อมนารี,0.7,0.6992444987945428,0.6349206349206349,0.75,0.6865671641791045,0.7254901960784313,679,140,15
9_cnn,2024,จีนขิมเล็ก,0.7378640776699029,0.7196523918491882,0.47368421052631576,0.7619047619047619,0.9473684210526315,0.6956521739130435,716,103,19
9_cnn,2024,ตับต้นเพลงฉิ่ง,0.7159090909090909,0.7042646709432169,0.6086956521739131,0.9565217391304348,0.6721311475409836,0.5797101449275363,643,176,14
9_cnn,2024,สาธุการ,0.8425925925925926,0.8193331422223815,0.56,0.8983050847457628,0.9818181818181818,0.8372093023255814,603,216,13
9_cnn,2024,แขกมอญบางช้าง,0.7758620689655172,0.7697814781650365,0.6785714285714286,0.875,0.819672131147541,0.7058823529411765,703,116,21
