song_file,instrument,piece,start_bar,end_bar,sustain_ratio,low_oct_ratio,mid_oct_ratio,high_oct_ratio,lukabad_density,paren_ratio,transition_entropy
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,1,16,0.4057971014492754,0.0,0.6829268292682927,0.3170731707317073,0.25,0.0,4.536608254391501
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,9,24,0.23529411764705882,0.0,0.7884615384615384,0.21153846153846154,0.1875,0.0,4.97961176479402
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,17,32,0.046875,0.0,0.8524590163934426,0.14754098360655737,0.0,0.0,4.995148130151865
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,25,40,0.046875,0.0,0.5409836065573771,0.45901639344262296,0.0,0.0,5.007130471456047
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,33,48,0.12307692307692308,0.0,0.543859649122807,0.45614035087719296,0.0625,0.0,4.595463821688583
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,41,56,0.09230769230769231,0.0,0.7796610169491526,0.22033898305084745,0.0625,0.0,5.011184179450872
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,49,64,0.2153846153846154,0.0,0.7450980392156863,0.2549019607843137,0.0625,0.0,5.159774413893479
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,57,72,0.45454545454545453,0.0,0.75,0.25,0.125,0.0,4.128018829226784
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,65,80,0.49230769230769234,0.0,0.7272727272727273,0.2727272727272727,0.0625,0.0,3.9488376031689865
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,73,88,0.40625,0.0,0.631578947368421,0.3684210526315789,0.0,0.0,4.331764099922031
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,81,96,0.28125,0.0,0.6956521739130435,0.30434782608695654,0.0,0.0,4.551113710294134
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,89,104,0.12307692307692308,0.0,0.7192982456140351,0.2807017543859649,0.0625,0.25,4.897979296672176
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,97,112,0.12307692307692308,0.0,0.7543859649122807,0.24561403508771928,0.0625,0.25,4.540873781480403
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,105,120,0.3125,0.0,0.7727272727272727,0.22727272727272727,0.0,0.0,4.524123177124762
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,113,128,0.34375,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,4.459045947440478
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,121,136,0.375,0.0,0.675,0.325,0.0,0.0,4.679272978883767
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,129,144,0.390625,0.0,0.38461538461538464,0.6153846153846154,0.0,0.0,4.541637511216195
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,137,152,0.28125,0.0,0.41304347826086957,0.5869565217391305,0.0,0.0,4.724996542712914
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,145,160,0.171875,0.0,0.6415094339622641,0.3584905660377358,0.0,0.0,4.909276550243658
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,153,168,0.28125,0.0,0.6739130434782609,0.32608695652173914,0.0,0.0,4.548087859733126
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,161,176,0.4375,0.0,0.5277777777777778,0.4722222222222222,0.0,0.0,3.9652975821957326
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,169,184,0.375,0.0,0.475,0.525,0.0,0.0,4.277638551759855
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,177,192,0.21875,0.0,0.62,0.38,0.0,0.0,4.806667130454607
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,185,200,0.21875,0.0,0.5,0.5,0.0,0.0,5.096172383748694
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,193,208,0.21875,0.0,0.48,0.52,0.0,0.0,4.90149520110599
กล่อมนารี เถา ขลุ่ย.xlsx,ขลุ่ย-ปี่,กล่อมนารี,201,216,0.234375,0.0,0.5306122448979592,0.46938775510204084,0.0,0.0,4.755157408266725
