model,predicted_class,rank,window_idx,piece,actual_instrument,confidence,tokens
bilstm,ขลุ่ย-ปี่,1,61,ตับต้นเพลงฉิ่ง,ขลุ่ย-ปี่,1.0,ซ ล ท ดํ ท ล ท ดํ ท ล รํ ล รํ ล ท ดํ ร ม ซ ล ซ ล ดํ รํ มํ รํ ดํ ล ม ซ ล ดํ ซํ รํ มํ ฟํ ซํ ฟํ มํ รํ มํ รํ ซํ ฟํ มํ รํ ดํ ล ดํ ซ ล ซ ร ม ซ ล รํ ดํ ล ดํ ซ ล ดํ รํ
bilstm,ขลุ่ย-ปี่,2,119,สาธุการ,ขลุ่ย-ปี่,1.0,รํ ล ล ล รํ ท ท ท รํ มํ รํ ท ล ท รํ มํ ล ท รํ ล ท ล ฟ ม ล ท ล ทฺ ร ม ร ทฺ ฟ ท ล ท รํ ท มํ รํ ฟํ มํ ลํ มํ ฟํ รํ มํ ฟํ รํ ล ล ล รํ ท ล - ฟ - ม ล ร ฟ ม ร
bilstm,ขลุ่ย-ปี่,3,179,โหมโรงมหาฤกษ์,ขลุ่ย-ปี่,1.0,- - - - - - - - - - - รํ - - - ท - - - - ล ซ ล ท รํ ท รํ ล - ท - รํ - - - - ล ท รํ มํ ซํ ลํ ซํ รํ ซํ มํ รํ ท ท ท รํ ท รํ ล - ทฺ ล ท รํ มํ ซ ร - ม
bilstm,ขลุ่ย-ปี่,4,3,กล่อมนารี,ขลุ่ย-ปี่,1.0,ซ ด ร ม ฟ ซ - ฟ ด ฟ ม ฟ ร ม ด ร ดํ ล ซ ม ล ซ ม ร มํ รํ ซํ ฟํ มํ รํ ดํ ท - - ล ท รํ มํ รํ ท รํ ล รํ ท รํ มํ รํ ท มํ รํ ซํ มํ ซํ รํ มํ ท รํ ท มํ รํ มํ ท รํ ล
bilstm,ขลุ่ย-ปี่,5,180,โหมโรงมหาฤกษ์,ขลุ่ย-ปี่,1.0,- - - - ล ท รํ มํ ซํ ลํ ซํ รํ ซํ มํ รํ ท ท ท รํ ท รํ ล - ทฺ ล ท รํ มํ ซ ร - ม - - - ท - - - ล - - - ซ ล ซ - ล ท - - - - รํ ท ล ซ ท ล ซ ม - - - -
bilstm,ฆ้องวงใหญ่,1,253,ตับต้นเพลงฉิ่ง,ฆ้องวงใหญ่,1.0,- ล - ซฺ ซ ซ - ลฺ ล ล - ด ดํ ดํ - รํ - ฟํ - รํ - ดํ - ลฺ ล ล - ซฺ ซ ซ - ฟ - ล - ดํ - ล - ซฺ ซ ซ - ฟฺ ฟ ฟ - ร - ร - ซฺ ด ด - ลฺ ร ร - ฟฺ ฟ ฟ - ซ
bilstm,ฆ้องวงใหญ่,2,249,ตับต้นเพลงฉิ่ง,ฆ้องวงใหญ่,1.0,- ล - ซฺ ซ ซ - ลฺ ล ล - ด ดํ ดํ - รํ - ฟํ - รํ - ดํ - ลฺ ล ล - ซฺ ซ ซ - ฟ - ล - ดํ - ล - ซฺ ซ ซ - ฟฺ ฟ ฟ - ร - ร - ซฺ ด ด - ลฺ ร ร - ฟฺ ฟ ฟ - ซ
bilstm,ฆ้องวงใหญ่,3,360,แขกมอญบางช้าง,ฆ้องวงใหญ่,1.0,- ดํ - ล - ซ - ฟฺ ฟ ฟ - ซฺ ซ ซ - ล - ดํ - รํ - ด - ลฺ ล ล - ซฺ ซ ซ - ฟ - ด ร ม ร ม ฟ ซ - ล ดํ ซ ล ซ ฟ ม ซ ม ร ด ร ม ร ม ร ด ร ม ร ม ฟ ซ
bilstm,ฆ้องวงใหญ่,4,254,ตับต้นเพลงฉิ่ง,ฆ้องวงใหญ่,1.0,- ล - ดํ - ล - ซฺ ซ ซ - ฟฺ ฟ ฟ - ร - ร - ซฺ ด ด - ลฺ ร ร - ฟฺ ฟ ฟ - ซ - - - ล - ด ดํ ดํ - - - รํ - ด ดํ ดํ - - ฟ ซ ล - ดํ - รํ - ดํ - ร รํ รํ - ดํ
bilstm,ฆ้องวงใหญ่,5,259,ตับต้นเพลงฉิ่ง,ฆ้องวงใหญ่,1.0,- - - ล - ด ดํ ดํ - - - รํ - ด ดํ ดํ - - ฟ ซ ล - ดํ - รํ - ดํ - ร รํ รํ - ดํ - ร รํ รํ - ดํ - ลฺ ล ล - ซฺ ซ ซ - ฟ - ร - ซฺ ด ด - ฟฺ ฟ ฟ - ซฺ ซ ซ - ล
bilstm,ซออู้,1,483,ตับต้นเพลงฉิ่ง,ซออู้,1.0,ล ท รํ ม ล ซ ม ล ซ ม ล ซ ม ร ซ ม ซ ล ท รํ ท ล ซ ม ซ ล ท ซ ล ท รํ ล ท ล ซ ร ซ ท ล ซ ท ล ซ ล ท ซ ล ท ล ท รํ ม ล ซ ม ล ท ล ซ ม รํ ท ล ซ
bilstm,ซออู้,2,487,ตับต้นเพลงฉิ่ง,ซออู้,1.0,ล ท รํ ม ล ซ ม ล ซ ม ล ซ ม ร ซ ม ซ ล ท รํ ท ล ซ ม ซ ล ท ซ ล ท รํ ล ท ล ซ ร ซ ท ล ซ ท ล ซ ล ท ซ ล ท ล ท รํ ม ล ซ ม ล ท ล ซ ม รํ ท ล ซ
